ts,record_id,market_index,peg_multiplier_before,base_asset_reserve_before,quote_asset_reserve_before,sqrt_k_before,peg_multiplier_after,base_asset_reserve_after,quote_asset_reserve_after,sqrt_k_after,base_asset_amount_long,base_asset_amount_short,base_asset_amount,open_interest,total_fee,total_fee_minus_distributions,adjustment_cost
2021-12-25 12:59:31-05:00,181,3,63552,717797483589845301,1128442329211961786,899996146816534959,63552,724975458353964005,1139726752391237170,908996108284700308,226481739263238781,15107509574044541,211374229689194240,169,73595690638,39181322446,3682802938
2021-12-25 13:11:09-05:00,182,3,63552,725404580011483084,1139052533778668411,908996108284700308,63552,726129984518954109,1140191586198541826,909905104392985008,226052617605719702,15107509574044541,210945108031675161,167,73599975642,38615544221,367111560
2021-12-25 13:11:55-05:00,183,3,63552,726209759899490441,1140066334436205470,909905104392985008,63552,729114598866467426,1144626599659943658,913544724810556948,225972842225183370,15107509574044541,210865332651138829,167,73600771642,37153367017,1462973204
2021-12-25 13:12:41-05:00,184,3,63552,729134545557342362,1144595286719359569,913544724810556948,63553,729134545557342362,1144595286719359569,913544724810556948,225952895534308434,15107509574044541,210845385960263893,167,73600970642,37127891784,25674233
2021-12-25 13:13:07-05:00,185,3,63553,729154492880486491,1144563974271481420,913544724810556948,63554,729154492880486491,1144563974271481420,913544724810556948,225932948211164305,15107509574044541,210825438637119764,167,73601169642,37102419683,25671101
2021-12-25 13:13:34-05:00,186,3,63554,729154492880486491,1144563974271481420,913544724810556948,63555,729154492880486491,1144563974271481420,913544724810556948,225932948211164305,15107509574044541,210825438637119764,167,73601169642,37076748581,25671102
2021-12-25 13:20:34-05:00,187,3,63555,728589894151465922,1145450919548026894,913544724810556948,63556,728589894151465922,1145450919548026894,913544724810556948,225922060667368896,14532023301228563,211390037366140333,170,73746688667,37196507810,25759796
2021-12-25 13:21:08-05:00,188,3,63556,728600427488464190,1145434359825996309,913544724810556948,63557,728600427488464190,1145434359825996309,913544724810556948,225911527330370628,14532023301228563,211379504029142065,169,73747003985,37171064988,25758140
2021-12-25 13:23:27-05:00,189,3,63557,728780441487415124,1145151429319207123,913544724810556948,63558,728780441487415124,1145151429319207123,913544724810556948,225731513331419694,14532023301228563,211199490030191131,169,73748802203,37147133359,25729847
2021-12-25 13:25:35-05:00,190,3,63558,728627282194726818,1145392143038308103,913544724810556948,63559,728627282194726818,1145392143038308103,913544724810556948,225884672624108000,14532023301228563,211352649322879437,169,73751366037,37123943275,25753918
2021-12-25 13:34:07-05:00,191,3,63559,727332121371570811,1147431743637847777,913544724810556948,63563,727332121371570811,1147431743637847777,913544724810556948,227179833447264007,14532023301228563,212647810146035444,169,73767785466,37036531191,103831513
2021-12-25 13:34:47-05:00,192,3,63563,727332121371570811,1147431743637847777,913544724810556948,63564,727332121371570811,1147431743637847777,913544724810556948,227179833447264007,14532023301228563,212647810146035444,169,73767785466,37010573312,25957879
