ts,record_id,market_index,peg_multiplier_before,base_asset_reserve_before,quote_asset_reserve_before,sqrt_k_before,peg_multiplier_after,base_asset_reserve_after,quote_asset_reserve_after,sqrt_k_after,base_asset_amount_long,base_asset_amount_short,base_asset_amount,open_interest,total_fee,total_fee_minus_distributions,adjustment_cost,oracle_price,trade_record,padding
2022-01-25 16:31:34-05:00,619,1,56816900,3996153650668872,2579881919703484,3210857292331395,56816900,3996113688732749,2579856120626298,3210825183758471,9184091519173,787004495303789,-777820403784616,425,178295120767,88702015703,-8565809,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-25 16:32:15-05:00,620,1,56816900,3996113688732749,2579856120626298,3210825183758471,56816900,3994515242857644,2578824177920061,3209540853684967,9184091519173,787004495303789,-777820403784616,425,178295120767,89044673735,-342658032,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-26 10:42:58-05:00,621,1,56816900,3921977673924192,2626519921304360,3209540853684967,56816900,3925899651205918,2629146440963012,3212750394538651,11155597402051,716438432253215,-705282834851164,429,181162992447,90583531850,716528871,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-26 10:44:01-05:00,622,2,4319250,19944866776202002,12091952964274798,15529726041903049,4319250,19964811640983717,12104044916029877,15545255767944952,428258393808333,4815452561505049,-4387194167696716,271,114120311900,56880864552,414792976,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-26 10:45:20-05:00,623,0,230239,2462051721372951913,1062293121075556064,1617226207846854809,230239,2463036541815295921,1062718038217756974,1617873098329993550,12478204953975007,626080771758825059,-613602566804850052,993,603347402641,302067275802,1077478247,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-26 10:46:34-05:00,624,4,85765,2406201893178809352,1973750205274195797,2179275448536240796,85765,2411014296724546781,1977697705487369168,2183633999433313277,8236728278844399,264303156608937721,-256066428330093322,146,249402008427,125006753927,479105897,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-26 10:47:09-05:00,625,5,515400,308854884910446461,235298375049934377,269579399334709085,515400,309472594649381865,235768971776504408,270118558133378503,363893680776066,37229634903959424,-36865741223183358,88,101665335642,51214638308,444578264,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-26 11:44:54-05:00,626,3,64275,3156150245275776532,3146019565557463172,3151080834170488131,64275,3313957757223950334,3303320543520734374,3308634875879012537,27741338333823380,23380490905489091,4360847428334289,152,390534847455,296834691779,1829288,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-24 01:21:50-05:00,595,3,64275,2833094314805755478,2882796625255548945,2857837421854629170,64275,2974749030262733820,3026936456230046729,3000729292947360628,63121496414744827,27943693064257882,35177803350486945,158,332413309076,239867700848,132793024,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-24 09:51:01-05:00,596,0,230265,2620741659256916868,996972277730320400,1616417885749878615,230255,2620741659256916868,996972277730320400,1616417885749878615,10485093349971525,784014642744285843,-773529549394314318,1011,546156524406,273644747949,417487256,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-24 09:51:31-05:00,597,0,230255,2623783628544430937,995816405341924931,1616417885749878615,230250,2623783628544430937,995816405341924931,1616417885749878615,10485093349971525,787056612031799912,-776571518681828387,1011,546183138944,273462040923,209321564,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-24 10:06:23-05:00,598,0,230250,2651339534788706861,985466684703711471,1616417885749878615,230249,2651339534788706861,985466684703711471,1616417885749878615,9205446539867817,813332871465972128,-804127424926104311,1009,546777382414,273434801046,42899284,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-24 10:52:27-05:00,599,0,230249,2625153811293314207,995296645145861508,1616417885749878615,230239,2625153811293314207,995296645145861508,1616417885749878615,12713825350089486,790655526780801143,-777941701430711657,1011,547967925689,274206181433,419162888,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-24 22:01:52-05:00,600,3,64275,3005443533812305796,2996022446687132763,3000729292947360628,64275,3155715710202376732,3145823568721887156,3150765757594728659,58280583620605649,53797283819690680,4483299800914969,154,361616667942,268192906544,2030769,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-25 12:48:33-05:00,601,1,56816900,3957403595177843,2594230128673903,3204124785012716,56816900,3961360998377280,2596824358543153,3207328909797728,11599030885355,758976991203944,-747377960318589,424,177467317021,88727374343,798017663,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-25 12:50:30-05:00,602,2,4319250,20505714056405953,11751824569921620,15523516169729673,4319250,20511865768572303,11755350116117414,15528173224580591,445948899719288,5402181806062303,-4956232906343015,269,111147475862,55605276921,154643196,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-25 12:51:41-05:00,603,1,56816900,3963940111312766,2595134751472690,3207328909797728,56816900,3964336504927503,2595394264688323,3207649642688707,10731465925289,760688539179364,-749957073254075,423,177476924838,88656712870,80269290,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-25 12:52:55-05:00,604,0,230239,2493118180097145178,1048007592351798883,1616417885749878615,230239,2493367491665843074,1048112393006233303,1616579527538453602,16476495014096959,662382565248639587,-645906070234542628,1002,582932950903,292602268485,294971381,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-25 12:53:38-05:00,605,3,64275,3120830129021337811,3180988534721881078,3150765757594728659,64275,3121142211722156931,3181306633257254412,3151080834170488131,57429027667130603,18060146685176713,39368880981953890,150,376022746133,282558883630,313239,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-25 12:54:27-05:00,606,4,85765,2436077339411075167,1926339818870543025,2166267015110502231,85765,2448257725864522808,1935971517772261758,2177098350186054742,11461447481177574,311997629409281361,-300536181928103787,139,240275134141,120191598946,1626745424,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-25 12:55:13-05:00,607,5,515400,313835391854463711,230870872073383258,269175501494716264,515400,313992309519007403,230986307486332862,269310089245463622,513149190535893,42827689998774450,-42314540808238557,91,98388419701,49318042367,144409970,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-25 12:55:42-05:00,608,6,2175,75543675824236670929,53358996922792365426,63489642980897825600,2175,75619219492506540017,53412355914379258099,63553132623878723425,162562146028679497,12253591264549488443,-12091029118520808946,70,129594970213,65221199081,420895547,0,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 00:42:01-05:00,609,0,230239,2533936550704351692,1034016234270831430,1618682034879158546,230234,2533936550704351692,1034016234270831430,1618682034879158546,14249632001844308,697465784116417278,-683216152114572970,1025,664201430700,332176869296,190859892,939476660000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 11:44:27-05:00,610,0,230234,2519763936145652338,1039832141596727520,1618682034879158546,230230,2519763936145652338,1039832141596727520,1618682034879158546,8205002839269031,677248540395142647,-669043537555873616,1018,670729926493,337509813833,150361550,946553860000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 11:44:58-05:00,611,0,230230,2519763936145652338,1039832141596727520,1618682034879158546,230225,2519763936145652338,1039832141596727520,1618682034879158546,8205002839269031,677248540395142647,-669043537555873616,1018,670729926493,337321861895,187951938,946238590000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 11:45:25-05:00,612,0,230225,2519763936145652338,1039832141596727520,1618682034879158546,230220,2519763936145652338,1039832141596727520,1618682034879158546,8205002839269031,677248540395142647,-669043537555873616,1018,670729926493,337133909958,187951937,947061820000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 11:46:02-05:00,613,0,230220,2519763936145652338,1039832141596727520,1618682034879158546,230210,2519763936145652338,1039832141596727520,1618682034879158546,8205002839269031,677248540395142647,-669043537555873616,1018,670729926493,336758006081,375903877,945627100000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 11:46:25-05:00,614,0,230210,2520868130895365094,1039376672634562543,1618682034879158546,230200,2520868130895365094,1039376672634562543,1618682034879158546,8205002839269031,678352735144855403,-670147732305586372,1018,670740411841,336392132083,376359346,945666390000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 11:49:35-05:00,615,0,230200,2521488096570389981,1039121118043076880,1618682034879158546,230190,2521488096570389981,1039121118043076880,1618682034879158546,8205002839269031,678972700819880290,-670767697980611259,1018,670746294705,336021400047,376614900,946167960000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 11:55:21-05:00,616,2,4319250,20230970423387370,11956751812647793,15553028395828924,4319200,20230970423387370,11956751812647793,15553028395828924,428989599846911,5071998893966535,-4643009294119624,266,124630608816,62394671146,17807110,25493228900000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 11:55:37-05:00,617,2,4319200,20230970423387370,11956751812647793,15553028395828924,4319100,20230970423387370,11956751812647793,15553028395828924,428989599846911,5071998893966535,-4643009294119624,266,124630608816,62359056925,35614221,25483909300000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 21:56:02-05:00,618,1,56816900,3927128917618257,2628323468399975,3212750394538651,56816800,3927128917618257,2628323468399975,3212750394538651,17397669709013,723909770972516,-706512101263503,416,193496818751,96938772801,5765796,379624670000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-01-29 21:56:29-05:00,619,1,56816800,3927128917618257,2628323468399975,3212750394538651,56816000,3927128917618257,2628323468399975,3212750394538651,17397669709013,723909770972516,-706512101263503,416,193496818751,96892646424,46126377,379620540000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-01 13:08:15-05:00,620,10,978,81799591002044989775,81799591002044989775,81799591002044989775,979,81799591002044989775,81799591002044989775,81799591002044989775,0,0,0,0,0,0,0,9869113600,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-01 13:09:19-05:00,621,10,979,81799591002044989775,81799591002044989775,81799591002044989775,984,81799591002044989775,81799591002044989775,81799591002044989775,0,0,0,0,0,0,0,9857352200,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-01 13:57:54-05:00,622,10,984,81799591002044989775,81799591002044989775,81799591002044989775,980,81799591002044989775,81799591002044989775,81799591002044989775,0,0,0,0,196802,196802,0,9781944600,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-01 13:58:45-05:00,623,10,980,81799591002044989775,81799591002044989775,81799591002044989775,979,81799591002044989775,81799591002044989775,81799591002044989775,0,0,0,0,196802,196802,0,9771647700,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-09 11:52:11-05:00,624,11,46907,1705502377043938004,1705502377043938004,1705502377043938004,47100,1705502377043938004,1705502377043938004,1705502377043938004,0,0,0,0,0,0,0,472108450000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-09 13:22:51-05:00,625,1,56816000,3648791877759386,2828817165627584,3212750394538651,56816000,3652440669272266,2831645982510329,3215963144933189,28580256213522,456755317618154,-428175061404632,420,221958313010,120417174957,283754518,440596300000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-09 13:38:51-05:00,626,1,56816000,3653628956468321,2830725033328447,3215963144933189,56816000,3668243471928831,2842047933178688,3228826997512921,28580256213522,457943604814209,-429363348600687,420,221964954217,119288148707,1135667457,440413490000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-10 11:49:02-05:00,627,2,4319100,18042482878343819,13407062315786182,15553028395828924,4319100,18222907705323008,13541132937603337,15708558679787213,415548002106163,2870069751182236,-2454521749076073,264,148510048988,79188315685,1419330995,32136528000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-10 11:49:48-05:00,628,1,56816000,3619321348540837,2880463704631082,3228826997512921,56816000,3655514561664313,2909268341389346,3261115267488050,53199010947888,433640236160581,-380441225212693,435,225327460681,120079299296,2233014725,453326010000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-11 10:31:15-05:00,629,1,56816000,3717771378289423,2860550503440813,3261115267488050,56816000,3736360234809092,2874853255671962,3277420843825490,16247162186744,458945204024547,-442698041837803,541,229351658783,121172046252,1476400907,437175530000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-11 10:38:14-05:00,630,2,4319100,18512243286311043,13329492918817950,15708558679787213,4319100,18697365717322929,13462787846673180,15865644266585085,383099413456827,3126956743520935,-2743857330064108,369,150196220869,78311519044,1723003456,31112859000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-15 22:33:07-05:00,631,2,4319100,18569104645037913,13555778418271186,15865644266585085,4319100,18754795689631381,13691336201098320,16024300709250935,580927346124002,3196523603903094,-2615596257779092,428,156136635616,79491320142,1555681036,31491711000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-15 22:34:28-05:00,632,1,56816000,3721040295139657,2886689349097371,3277420843825490,56816000,3758250697718949,2915556242299675,3310195052263744,71109189441390,498487291609758,-427378102168368,607,238331600759,120892264128,2730596743,440346010000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-15 22:35:02-05:00,633,11,47100,1714074825845494797,1696972800862261771,1705502377043938004,47100,1799778566966362054,1781821440735677579,1790777495896134904,10781646251431541,19354095052988334,-8572448801556793,21,8510378725,7672583875,9611808,466009020000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-15 22:35:30-05:00,634,10,979,82458220754711312596,81146222012309602696,81799591002044989775,979,86581131784201056150,85203533104810460629,85889570552147239263,1095270722258661889,1753900474924984710,-658629752666322821,29,39326360080,35776580352,24514174,9629417500,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-15 22:37:31-05:00,635,11,47100,1800668042270655069,1780941275419165060,1790777495896134904,47100,1890701444204121018,1869988339012029185,1880316370690941649,10611310666771939,20073234772621747,-9461924105849808,21,8514524300,7665587941,11141509,465651710000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-17 13:50:58-05:00,636,4,85765,2149847826501593839,2222389262964883069,2185817633432746590,85765,2171346304551624994,2244613155372292973,2207675809767074055,91395725900030810,83792886853401992,7602839046628818,155,468506769961,316841026923,2339857,887163620000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-17 13:51:55-05:00,637,9,1035,85001412541027635911,85186127313554381055,85093719806763285023,1035,89251483159578876452,89445433670713487376,89348405797101449274,2125850661172423028,2064790049648978047,61060611523444981,36,87274079193,81220633492,214585,10350758400,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-17 13:55:20-05:00,638,2,4319100,19477316497861444,13183449231761139,16024300709250935,4319100,19574703078403019,13249366476601599,16104422212797189,315635905052501,3653752971061656,-3338117066009155,433,158484867531,80185578384,1210648961,29201312000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 15:49:31-05:00,639,12,111516,735715254991463548,699513090855345582,717385845977258868,111515,735715254991463548,699513090855345582,717385845977258868,574378922432322,18903787936637002,-18329409014204680,18,2633411350,1861455681,1787274,1059050000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 15:55:29-05:00,640,1,56816000,4047380819380580,2707279540280154,3310195052263744,56815999,4047380819380580,2707279540280154,3310195052263744,64927173397242,781435397227241,-716508223829999,595,259466182179,130248253855,58235,379679290000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 15:56:04-05:00,641,1,56815999,4047380819380580,2707279540280154,3310195052263744,56815998,4047380819380580,2707279540280154,3310195052263744,64927173397242,781435397227241,-716508223829999,595,259466182179,130248195619,58236,379589860000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 15:56:39-05:00,642,1,56815998,4047380819380580,2707279540280154,3310195052263744,56815997,4047380819380580,2707279540280154,3310195052263744,64927173397242,781435397227241,-716508223829999,595,259466182179,130248137383,58236,379330210000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:16:51-05:00,643,1,56815997,4045825886205019,2708320029636617,3310195052263744,56815996,4045825886205019,2708320029636617,3310195052263744,66407507420659,781360798075097,-714953290654438,594,259476487141,130136413569,58132,379468850000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:17:11-05:00,644,1,56815996,4045825886205019,2708320029636617,3310195052263744,56815995,4045825886205019,2708320029636617,3310195052263744,66407507420659,781360798075097,-714953290654438,594,259476487141,130136355438,58131,379644280000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:17:30-05:00,645,1,56815995,4045825886205019,2708320029636617,3310195052263744,56815994,4045825886205019,2708320029636617,3310195052263744,66407507420659,781360798075097,-714953290654438,594,259476487141,130136297306,58132,379590010000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:33:13-05:00,646,1,56815994,4044711714995327,2709066073462798,3310195052263744,56815991,4044711714995327,2709066073462798,3310195052263744,67443933287076,781283052731822,-713839119444746,594,259481928682,130141564674,174173,379866040000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:33:32-05:00,647,1,56815991,4044711714995327,2709066073462798,3310195052263744,56815988,4044711714995327,2709066073462798,3310195052263744,67443933287076,781283052731822,-713839119444746,594,259481928682,130141390501,174173,379935390000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:33:52-05:00,648,1,56815988,4044711714995327,2709066073462798,3310195052263744,56815985,4044711714995327,2709066073462798,3310195052263744,67443933287076,781283052731822,-713839119444746,594,259481928682,130141216328,174173,379900160000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:34:10-05:00,649,1,56815985,4044711714995327,2709066073462798,3310195052263744,56815982,4044711714995327,2709066073462798,3310195052263744,67443933287076,781283052731822,-713839119444746,594,259481928682,130141042155,174173,379943560000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:34:30-05:00,650,1,56815982,4044711714995327,2709066073462798,3310195052263744,56815979,4044711714995327,2709066073462798,3310195052263744,67443933287076,781283052731822,-713839119444746,594,259481928682,130140867982,174173,379696210000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:34:54-05:00,651,1,56815979,4044711714995327,2709066073462798,3310195052263744,56815976,4044711714995327,2709066073462798,3310195052263744,67443933287076,781283052731822,-713839119444746,594,259481928682,130140693809,174173,379665670000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:35:14-05:00,652,1,56815976,4044711714995327,2709066073462798,3310195052263744,56815973,4044711714995327,2709066073462798,3310195052263744,67443933287076,781283052731822,-713839119444746,594,259481928682,130140519636,174173,379668630000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:35:36-05:00,653,1,56815973,4045530843999668,2708517548514894,3310195052263744,56815970,4045530843999668,2708517548514894,3310195052263744,66677532405452,781335780854539,-714658248449087,594,259485045178,130143461795,174337,379455670000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:35:55-05:00,654,1,56815970,4046062018142504,2708161969564117,3310195052263744,56815967,4046062018142504,2708161969564117,3310195052263744,66146358262616,781335780854539,-715189422591923,594,259487065434,130145307607,174444,379323810000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:38:01-05:00,655,1,56815967,4047910863284206,2706925042104625,3310195052263744,56815964,4047910863284206,2706925042104625,3310195052263744,64350333912081,781388601645706,-717038267733625,594,259494093155,130152160512,174816,379220970000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:38:21-05:00,656,1,56815964,4047910863284206,2706925042104625,3310195052263744,56815961,4047910863284206,2706925042104625,3310195052263744,64350333912081,781388601645706,-717038267733625,594,259494093155,130151985697,174815,379265000000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:38:40-05:00,657,1,56815961,4047910863284206,2706925042104625,3310195052263744,56815958,4047910863284206,2706925042104625,3310195052263744,64350333912081,781388601645706,-717038267733625,594,259494093155,130151810882,174815,379208060000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:39:00-05:00,658,1,56815958,4047910863284206,2706925042104625,3310195052263744,56815955,4047910863284206,2706925042104625,3310195052263744,64350333912081,781388601645706,-717038267733625,594,259494093155,130151636067,174815,379087890000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:39:20-05:00,659,1,56815955,4047910863284206,2706925042104625,3310195052263744,56815952,4047910863284206,2706925042104625,3310195052263744,64350333912081,781388601645706,-717038267733625,594,259494093155,130151461251,174816,379171310000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:39:38-05:00,660,1,56815952,4047963637075863,2706889751595369,3310195052263744,56815949,4047963637075863,2706889751595369,3310195052263744,64350333912081,781441375437363,-717091041525282,594,259494293661,130151486932,174825,379240250000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:39:57-05:00,661,1,56815949,4047963637075863,2706889751595369,3310195052263744,56815946,4047963637075863,2706889751595369,3310195052263744,64350333912081,781441375437363,-717091041525282,594,259494293661,130151312106,174826,379224450000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:40:17-05:00,662,1,56815946,4047963637075863,2706889751595369,3310195052263744,56815943,4047963637075863,2706889751595369,3310195052263744,64350333912081,781441375437363,-717091041525282,594,259494293661,130151137280,174826,379228470000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:40:35-05:00,663,1,56815943,4047963637075863,2706889751595369,3310195052263744,56815940,4047963637075863,2706889751595369,3310195052263744,64350333912081,781441375437363,-717091041525282,594,259494293661,130150962454,174826,379344850000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:40:53-05:00,664,1,56815940,4047963637075863,2706889751595369,3310195052263744,56815937,4047963637075863,2706889751595369,3310195052263744,64350333912081,781441375437363,-717091041525282,594,259494293661,130150787628,174826,379379270000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:41:13-05:00,665,1,56815937,4047963637075863,2706889751595369,3310195052263744,56815934,4047963637075863,2706889751595369,3310195052263744,64350333912081,781441375437363,-717091041525282,594,259494293661,130150612802,174826,379384660000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:41:48-05:00,666,1,56815934,4047963637075863,2706889751595369,3310195052263744,56815931,4047963637075863,2706889751595369,3310195052263744,64350333912081,781441375437363,-717091041525282,594,259494293661,130150437977,174825,379423760000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:46:00-05:00,667,1,56815931,4046252859957580,2708034238904744,3310195052263744,56815928,4046252859957580,2708034238904744,3310195052263744,66061111030364,781441375437363,-715380264406999,594,259500796167,130156766000,174483,379752520000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:47:37-05:00,668,1,56815928,4046252859957580,2708034238904744,3310195052263744,56815925,4046252859957580,2708034238904744,3310195052263744,66061111030364,781441375437363,-715380264406999,594,259500796167,130156591518,174482,379539120000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:47:56-05:00,669,1,56815925,4046252859957580,2708034238904744,3310195052263744,56815922,4046252859957580,2708034238904744,3310195052263744,66061111030364,781441375437363,-715380264406999,594,259500796167,130156417035,174483,379533920000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:48:14-05:00,670,1,56815922,4046252859957580,2708034238904744,3310195052263744,56815919,4046252859957580,2708034238904744,3310195052263744,66061111030364,781441375437363,-715380264406999,594,259500796167,130156242553,174482,379615570000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:48:36-05:00,671,1,56815919,4046305575952829,2707998958148659,3310195052263744,56815916,4046305575952829,2707998958148659,3310195052263744,66061111030364,781494091432612,-715432980402248,594,259500996617,130156268510,174493,379664910000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:48:54-05:00,672,1,56815916,4046305575952829,2707998958148659,3310195052263744,56815913,4046305575952829,2707998958148659,3310195052263744,66061111030364,781494091432612,-715432980402248,594,259500996617,130156094016,174494,379651460000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:49:29-05:00,673,1,56815913,4046714080359536,2707725593268958,3310195052263744,56815910,4046714080359536,2707725593268958,3310195052263744,65705332929235,781546817738190,-715841484808955,593,259502549763,130157472587,174575,379653770000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
2022-02-22 16:49:49-05:00,674,1,56815910,4046714080359536,2707725593268958,3310195052263744,56815907,4046714080359536,2707725593268958,3310195052263744,65705332929235,781546817738190,-715841484808955,593,259502549763,130157298012,174575,379579780000000,0,"ListContainer: 
    0
    0
    0
    0
    0"
